,num_rel_holes_0,num_rel_holes_1,num_rel_holes_2,num_holes_0,num_holes_1,num_holes_2,avg_lifetime_0,avg_lifetime_1,avg_lifetime_2,amplitude,length_Betti_0,sum_length_0,average_length_0,onset_longest_Betti_0,smallest_onset_1,polynomial_feature_1_0,polynomial_feature_2_0,polynomial_feature_3_0,polynomial_feature_4_0,area_Betti_1
60,1,0,0,96,0,0,2751656187244.0747,0.0,0.0,132079496986624.0,1205.136474609375,264158993975431.16,2751656187244.0747,0.0,0.0,0.0,6007260874212131.0,0.0,1.5711878038907885e+39,0.0
61,1,0,0,95,0,0,2780620989215.064,0.0,0.0,132079496986624.0,1160.6854248046875,264158993975431.1,2780620989215.064,0.0,0.0,0.0,6070389964864434.0,0.0,1.3863144460634856e+39,0.0
62,1,0,0,96,0,0,2751656187244.0737,0.0,0.0,132079496986624.0,1113.6854248046875,264158993975431.1,2751656187244.0737,0.0,0.0,0.0,6007108569123999.0,0.0,1.189874519794684e+39,0.0
63,1,0,0,94,0,0,1542702135274.6895,0.0,0.0,72507000356864.0,1152.9248046875,145014000715820.8,1542702135274.6895,0.0,0.0,0.0,3228579079776753.0,0.0,4.040120555935644e+38,0.0
64,1,0,0,93,0,0,1559290330277.641,0.0,0.0,72507000356864.0,1108.4737548828125,145014000715820.62,1559290330277.641,0.0,0.0,0.0,3262998643524412.5,0.0,3.5391913142879836e+38,0.0
65,1,0,0,94,0,0,1542702135274.6848,0.0,0.0,72507000356864.0,1061.4737548828125,145014000715820.38,1542702135274.6848,0.0,0.0,0.0,3227900226280229.0,0.0,3.0126492811070882e+38,0.0
66,1,0,0,92,0,0,1576239138215.3835,0.0,0.0,72507000356864.0,1149.583740234375,145014000715815.28,1576239138215.3835,0.0,0.0,0.0,3290075651844206.0,0.0,4.077037377068009e+38,0.0
67,1,0,0,91,0,0,1593560447426.5396,0.0,0.0,72507000356864.0,1105.1328125,145014000715815.1,1593560447426.5396,0.0,0.0,0.0,3325927666415322.0,0.0,3.569497785459103e+38,0.0
68,1,0,0,92,0,0,1576239138215.3787,0.0,0.0,72507000356864.0,1058.1328125,145014000715814.84,1576239138215.3787,0.0,0.0,0.0,3289382271869484.5,0.0,3.0346215913152917e+38,0.0
69,1,0,0,93,0,0,637712894392.1918,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,637712894392.1918,0.0,0.0,0.0,1291900633077853.5,0.0,5.978212330088437e+37,0.0
70,1,0,0,93,0,0,637712894392.1897,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,637712894392.1897,0.0,0.0,0.0,1291779515975237.0,0.0,5.15696761990297e+37,0.0
71,1,0,0,93,0,0,637712894392.187,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,637712894392.187,0.0,0.0,0.0,1291620032820623.5,0.0,4.415196157268948e+37,0.0
72,1,0,0,93,0,0,637712894392.1918,0.0,0.0,29653649588224.0,1115.1192626953125,59307299178473.836,637712894392.1918,0.0,0.0,0.0,1291900633346656.8,0.0,5.978326897400771e+37,0.0
73,1,0,0,92,0,0,644644556287.757,0.0,0.0,29653649588224.0,1070.6683349609375,59307299178473.64,644644556287.757,0.0,0.0,0.0,1305820596000370.8,0.0,5.213148434331005e+37,0.0
74,1,0,0,93,0,0,637712894392.187,0.0,0.0,29653649588224.0,1023.6682739257812,59307299178473.39,637712894392.187,0.0,0.0,0.0,1291620030912136.0,0.0,4.415335795762324e+37,0.0
75,1,0,0,96,0,0,6161583570966.983,0.0,0.0,295756011405312.0,1246.473876953125,591512022812830.4,6161583570966.983,0.0,0.0,0.0,1.3595054124749002e+16,0.0,8.982544025886356e+39,0.0
76,1,0,0,95,0,0,6226442345398.215,0.0,0.0,295756011405312.0,1202.02294921875,591512022812830.4,6226442345398.215,0.0,0.0,0.0,1.3737925061676138e+16,0.0,7.94791504035867e+39,0.0
77,1,0,0,96,0,0,6161583570966.983,0.0,0.0,295756011405312.0,1155.02294921875,591512022812830.4,6161583570966.983,0.0,0.0,0.0,1.3594713827917782e+16,0.0,6.836838247113354e+39,0.0
78,1,0,0,94,0,0,3454223521248.044,0.0,0.0,162348505497600.0,1194.3056640625,324697010997316.1,3454223521248.044,0.0,0.0,0.0,7309584881253057.0,0.0,2.3242074412966847e+39,0.0
79,1,0,0,93,0,0,3491365709648.5586,0.0,0.0,162348505497600.0,1149.8546142578125,324697010997315.94,3491365709648.5586,0.0,0.0,0.0,7387519020870518.0,0.0,2.042670830332633e+39,0.0
80,1,0,0,94,0,0,3454223521248.039,0.0,0.0,162348505497600.0,1102.8546142578125,324697010997315.7,3454223521248.039,0.0,0.0,0.0,7308064836993424.0,0.0,1.7432907194294065e+39,0.0
81,1,0,0,92,0,0,3529315336927.2896,0.0,0.0,162348505497600.0,1190.989501953125,324697010997310.6,3529315336927.2896,0.0,0.0,0.0,7449119367344826.0,0.0,2.3468645035257922e+39,0.0
82,1,0,0,91,0,0,3568099021948.4663,0.0,0.0,162348505497600.0,1146.5384521484375,324697010997310.44,3568099021948.4663,0.0,0.0,0.0,7530299747735749.0,0.0,2.0615723275072874e+39,0.0
83,1,0,0,92,0,0,3529315336927.2847,0.0,0.0,162348505497600.0,1099.5384521484375,324697010997310.2,3529315336927.2847,0.0,0.0,0.0,7447566427780113.0,0.0,1.7573891904365233e+39,0.0
84,1,0,0,93,0,0,1428516170961.2168,0.0,0.0,66426001948672.0,1156.4937744140625,132852003899393.16,1428516170961.2168,0.0,0.0,0.0,2927243590937984.5,0.0,3.457906467058083e+38,0.0
85,1,0,0,93,0,0,1428516170961.2146,0.0,0.0,66426001948672.0,1112.0428466796875,132852003899392.95,1428516170961.2146,0.0,0.0,0.0,2926972274447669.5,0.0,2.9931509875914628e+38,0.0
86,1,0,0,93,0,0,1428516170961.212,0.0,0.0,66426001948672.0,1065.0428466796875,132852003899392.7,1428516170961.212,0.0,0.0,0.0,2926615164369901.5,0.0,2.5695882198328494e+38,0.0
87,1,0,0,93,0,0,1428516170961.2168,0.0,0.0,66426001948672.0,1156.4937744140625,132852003899393.16,1428516170961.2168,0.0,0.0,0.0,2927243593873522.5,0.0,3.457947896599761e+38,0.0
88,1,0,0,92,0,0,1444043520645.5757,0.0,0.0,66426001948672.0,1112.0428466796875,132852003899392.95,1444043520645.5757,0.0,0.0,0.0,2958787193264195.0,0.0,3.025749173548477e+38,0.0
89,1,0,0,93,0,0,1428516170961.212,0.0,0.0,66426001948672.0,1065.0428466796875,132852003899392.7,1428516170961.212,0.0,0.0,0.0,2926615155339066.0,0.0,2.5696620928535245e+38,0.0
90,1,0,0,101,0,0,158415839523368.22,0.0,0.0,7999999895928832.0,1379.9166259765625,1.599999979186019e+16,158415839523368.22,0.0,0.0,0.0,4.0016551617146675e+17,0.0,9.470058867313313e+42,0.0
